<OPEN>17/09;<HIGH>17/09;<LOW>17/09;<CLOSE>17/09;<OPEN> 17/11;<HIGH> 17/11;<LOW> 17/11;<CLOSE> 17/11;<OPEN> 15/12;<HIGH>15/12;<LOW> 15/12;<CLOSE> 15/12;<OPEN> 17/12;<HIGH> 17/12;<LOW> 17/12;<CLOSE> 17/12
107720;107760;107720;107760;116310;116320;116270;116320;112300;112350;112270;112350;111820;111820;111780;111780
107750;107770;107700;107770;116320;116360;116300;116360;112350;112350;112310;112340;111790;111790;111770;111780
107780;107780;107710;107710;116360;116390;116290;116290;112330;112350;112290;112300;111790;111800;111760;111770
107710;107710;107660;107660;116300;116300;116240;116250;112300;112350;112290;112320;111770;111820;111770;111800
107670;107730;107670;107730;116250;116280;116150;116160;112330;112390;112260;112260;111810;111850;111790;111850
107750;107810;107740;107810;116160;116200;116130;116190;112250;112270;112150;112190;111860;111900;111830;111880
107810;107830;107810;107810;116190;116260;116170;116250;112190;112210;112050;112080;111890;112100;111890;112090
107830;107880;107830;107880;116230;116250;116200;116250;112080;112090;111970;112030;112090;112140;112020;112060
107890;108020;107890;108000;116250;116270;116220;116250;112040;112130;112020;112080;112060;112090;112030;112050
108000;108040;107990;108020;116250;116300;116240;116280;112090;112140;112060;112090;112050;112100;112050;112080
108030;108080;107960;107970;116280;116280;116180;116190;112090;112120;112050;112110;112090;112130;112060;112070
107970;107980;107940;107960;116210;116220;116160;116190;112100;112150;112060;112110;112090;112130;112070;112120
107950;107960;107940;107960;116190;116210;116180;116180;112110;112180;112110;112150;112110;112130;112060;112070
107960;108070;107960;108070;116210;116220;116170;116220;112140;112240;112140;112210;112090;112100;112070;112070
108050;108060;108050;108060;116210;116250;116210;116240;112200;112220;112160;112200;112080;112110;112070;112090
108060;108060;108030;108050;116240;116300;116220;116290;112210;112230;112190;112220;112090;112100;112070;112080
108040;108060;108040;108050;116280;116310;116270;116300;112210;112230;112190;112190;112070;112110;112060;112070
108030;108040;108020;108040;116290;116300;116250;116290;112200;112210;112190;112200;112070;112080;112050;112060
108010;108150;108010;108150;116290;116300;116260;116260;112200;112230;112190;112210;112060;112070;112040;112050
108100;108140;108090;108090;116260;116290;116250;116280;112200;112250;112180;112250;112050;112110;112030;112080
108070;108120;108060;108090;116280;116280;116240;116250;112250;112250;112180;112230;112060;112060;112040;112050
108080;108080;108030;108060;116250;116260;116230;116240;112230;112250;112200;112220;112050;112100;112030;112100
108040;108050;108030;108030;116240;116240;116190;116210;112230;112270;112180;112200;112090;112120;112060;112060
108060;108080;108060;108080;116210;116260;116200;116250;112210;112240;112200;112220;112060;112110;112030;112110
108050;108050;108020;108020;116250;116250;116140;116180;112220;112260;112220;112250;112100;112210;112100;112180
108010;108020;108000;108000;116180;116200;116140;116190;112250;112360;112200;112350;112180;112180;112110;112130
107990;108010;107990;108010;116190;116200;116150;116200;112330;112430;112330;112390;112140;112140;112100;112100
108020;108040;107990;108040;116190;116210;116140;116160;112390;112400;112290;112310;112100;112130;112100;112100
108030;108030;107980;107980;116160;116170;116110;116130;112310;112340;112300;112320;112120;112180;112100;112150
108000;108010;107980;108000;116140;116200;116130;116160;112320;112360;112270;112290;112160;112220;112160;112190
108000;108010;107980;108000;116160;116200;116130;116200;112300;112350;112290;112320;112170;112180;112140;112150
108010;108050;108010;108050;116200;116220;116180;116190;112310;112370;112300;112360;112170;112180;112120;112160
108050;108070;108040;108040;116180;116200;116150;116200;112360;112360;112260;112270;112150;112270;112150;112250
108030;108040;108030;108040;116210;116280;116180;116270;112270;112300;112220;112300;112250;112260;112190;112190
108020;108070;108020;108070;116270;116330;116250;116270;112290;112300;112210;112250;112200;112260;112180;112200
108080;108100;108040;108040;116270;116300;116270;116280;112240;112260;112090;112140;112190;112220;112170;112200
108080;108110;108080;108100;116290;116300;116260;116270;112140;112140;112050;112120;112200;112200;112170;112170
108110;108110;108020;108020;116280;116280;116230;116260;112110;112190;112090;112130;112170;112190;112160;112160
108020;108030;107970;107980;116270;116270;116250;116250;112120;112240;112090;112230;112160;112160;112090;112100
108000;108020;108000;108020;116250;116280;116240;116260;112230;112410;112230;112400;112110;112140;112100;112100
108050;108060;108050;108060;116260;116260;116200;116200;112400;112400;112250;112260;112110;112140;112100;112120
108020;108020;108010;108010;116210;116210;116160;116170;112270;112330;112270;112310;112110;112150;112110;112120
108000;108010;107970;107980;116160;116190;116130;116140;112300;112310;112240;112290;112120;112150;112110;112140
108010;108020;108000;108020;116130;116150;116100;116150;112300;112320;112260;112260;112150;112150;112110;112130
108010;108010;107980;107980;116160;116190;116120;116180;112260;112340;112240;112310;112130;112140;112110;112120
107970;108010;107970;108010;116190;116240;116190;116230;112310;112320;112210;112210;112110;112130;112090;112110
108020;108030;108000;108000;116230;116230;116200;116220;112220;112260;112200;112230;112110;112170;112110;112160
108020;108020;108000;108000;116220;116270;116210;116250;112220;112250;112190;112240;112150;112190;112140;112150
108020;108050;108000;108050;116240;116250;116180;116200;112230;112230;112170;112230;112150;112170;112150;112160
108050;108070;108050;108060;116200;116210;116160;116180;112230;112270;112220;112230;112160;112180;112130;112140
108020;108050;108010;108010;116180;116230;116160;116220;112230;112280;112190;112280;112140;112190;112140;112160
108030;108050;108030;108050;116220;116240;116200;116230;112270;112280;112220;112220;112150;112160;112120;112120
108020;108040;108020;108040;116230;116290;116220;116280;112220;112220;112130;112200;112130;112150;112120;112150
108040;108050;108040;108050;116280;116330;116280;116320;112190;112240;112190;112230;112140;112160;112120;112130
108050;108070;108030;108070;116330;116370;116310;116340;112240;112250;112220;112230;112130;112130;112090;112100
108040;108070;108040;108070;116340;116350;116300;116320;112230;112340;112230;112340;112100;112120;112090;112120
108050;108050;108010;108010;116330;116340;116300;116300;112330;112340;112260;112280;112120;112140;112090;112110
108030;108030;108030;108030;116310;116320;116260;116270;112290;112320;112270;112300;112110;112150;112110;112130
108020;108040;108020;108040;116280;116280;116220;116230;112310;112360;112310;112360;112130;112140;112110;112110
108070;108100;108070;108100;116220;116230;116180;116190;112370;112420;112370;112410;112120;112130;112100;112120
108090;108210;108090;108150;116180;116180;116140;116170;112410;112560;112400;112540;112120;112130;112100;112110
108130;108130;108060;108080;116190;116240;116170;116230;112530;112610;112530;112560;112100;112130;112100;112120
108080;108080;108040;108040;116230;116240;116140;116170;112560;112570;112510;112530;112120;112150;112120;112130
108110;108110;108070;108100;116170;116170;116120;116120;112540;112570;112530;112560;112140;112170;112130;112150
108050;108050;108000;108000;116120;116120;115880;115890;112560;112640;112550;112620;112150;112160;112060;112100
108000;108010;107990;108010;115890;116010;115870;116010;112620;112950;112620;112900;112110;112120;112090;112100
108020;108070;108020;108040;116000;116020;115940;115970;112900;112960;112870;112940;112090;112100;112070;112090
